 format: day,hour,forecast,value  location:60_127 Start : 20210701 
1,2000.0,19.0,2.3
1,2000.0,20.0,2.1
1,2000.0,21.0,1.9
1,2000.0,22.0,1.8
1,2000.0,23.0,1.4
1,2000.0,24.0,1.7
1,2000.0,25.0,2.0
1,2000.0,26.0,2.4
1,2000.0,27.0,3.1
1,2000.0,28.0,3.5
1,2000.0,29.0,3.6
1,2000.0,30.0,3.9
1,2000.0,31.0,4.0
1,2000.0,32.0,4.5
1,2000.0,33.0,4.9
1,2000.0,34.0,4.7
1,2000.0,35.0,3.8
1,2000.0,36.0,4.3
1,2000.0,37.0,5.2
1,2000.0,38.0,5.7
1,2000.0,39.0,6.4
1,2000.0,40.0,6.5
1,2000.0,41.0,5.6
1,2000.0,42.0,5.1
1,2000.0,43.0,5.0
1,2000.0,44.0,4.7
1,2000.0,45.0,3.8
1,2000.0,46.0,3.5
1,2000.0,47.0,3.0
1,2000.0,48.0,2.9
1,2000.0,49.0,3.6
1,2000.0,50.0,3.8
1,2000.0,51.0,3.7
1,2000.0,52.0,3.6
1,2000.0,53.0,3.5
1,2000.0,54.0,3.4
1,2000.0,55.0,4.0
1,2000.0,56.0,3.8
1,2000.0,57.0,3.3
1,2000.0,58.0,3.4
1,2000.0,59.0,3.4
1,2000.0,60.0,3.2
1,2000.0,61.0,2.9
1,2000.0,62.0,2.3
1,2000.0,63.0,1.4
1,2000.0,64.0,1.2
1,2000.0,65.0,1.0
1,2000.0,66.0,0.9
1,2000.0,67.0,0.8
1,2300.0,6.0,1.3
1,2300.0,7.0,1.6
1,2300.0,8.0,1.8
1,2300.0,9.0,1.9
1,2300.0,10.0,2.3
1,2300.0,11.0,2.4
1,2300.0,12.0,2.7
1,2300.0,13.0,2.8
1,2300.0,14.0,2.7
1,2300.0,15.0,2.4
1,2300.0,16.0,2.3
1,2300.0,17.0,2.1
1,2300.0,18.0,1.9
1,2300.0,19.0,1.8
1,2300.0,20.0,1.4
1,2300.0,21.0,1.7
1,2300.0,22.0,2.0
1,2300.0,23.0,2.4
1,2300.0,24.0,3.1
1,2300.0,25.0,3.5
1,2300.0,26.0,3.6
1,2300.0,27.0,3.9
1,2300.0,28.0,4.0
1,2300.0,29.0,4.5
1,2300.0,30.0,4.9
1,2300.0,31.0,4.7
1,2300.0,32.0,3.8
1,2300.0,33.0,4.3
1,2300.0,34.0,5.2
1,2300.0,35.0,5.7
1,2300.0,36.0,6.4
1,2300.0,37.0,6.5
1,2300.0,38.0,5.6
1,2300.0,39.0,5.1
1,2300.0,40.0,5.0
1,2300.0,41.0,4.7
1,2300.0,42.0,3.8
1,2300.0,43.0,3.5
1,2300.0,44.0,3.0
1,2300.0,45.0,2.9
1,2300.0,46.0,3.6
1,2300.0,47.0,3.8
1,2300.0,48.0,3.7
1,2300.0,49.0,3.6
1,2300.0,50.0,3.5
1,2300.0,51.0,3.4
1,2300.0,52.0,4.0
1,2300.0,53.0,3.8
1,2300.0,54.0,3.3
1,2300.0,55.0,3.4
1,2300.0,56.0,3.4
1,2300.0,57.0,3.2
1,2300.0,58.0,2.9
1,2300.0,59.0,2.3
1,2300.0,60.0,1.4
1,2300.0,61.0,1.2
1,2300.0,62.0,1.0
1,2300.0,63.0,0.9
1,2300.0,64.0,0.8
 2,200.0,6.0,1.9
 2,200.0,7.0,2.3
 2,200.0,8.0,2.4
 2,200.0,9.0,2.7
 2,200.0,10.0,2.8
 2,200.0,11.0,2.7
 2,200.0,12.0,2.4
 2,200.0,13.0,2.3
 2,200.0,14.0,2.1
 2,200.0,15.0,1.9
 2,200.0,16.0,1.8
 2,200.0,17.0,1.4
 2,200.0,18.0,1.7
 2,200.0,19.0,2.0
