 format: day,hour,forecast,value  location:60_127 Start : 20210701 
 12,2300,+7,32.000000 
 12,2300,+8,31.000000 
 Start : 20210713 
 13,0200,+6,33.000000 
 13,0200,+7,32.000000 
 13,0200,+8,31.000000 
 13,0500,+6,32.000000 
 13,0500,+7,31.000000 
 13,0800,+6,32.000000 
 13,0800,+7,32.000000 
 13,0800,+8,33.000000 
 13,1100,+6,32.000000 
 13,1100,+7,32.000000 
 13,1100,+8,33.000000 
 13,1400,+6,32.000000 
 13,1400,+7,32.000000 
 13,1400,+8,33.000000 
 13,1700,+6,32.000000 
 13,1700,+7,32.000000 
 13,1700,+8,33.000000 
 13,2000,+6,33.000000 
 13,2000,+7,32.000000 
 13,2000,+8,32.000000 
 13,2300,+6,33.000000 
 13,2300,+7,32.000000 
 13,2300,+8,32.000000 
 Start : 20210714 
 14,0200,+6,33.000000 
 14,0200,+7,32.000000 
 14,0200,+8,32.000000 
 14,0500,+6,32.000000 
 14,0500,+7,32.000000 
 14,0800,+6,33.000000 
 14,0800,+7,32.000000 
 14,0800,+8,32.000000 
 14,1100,+6,33.000000 
 14,1100,+7,32.000000 
 14,1100,+8,32.000000 
 14,1400,+6,33.000000 
 14,1400,+7,32.000000 
 14,1400,+8,32.000000 
 14,1700,+6,33.000000 
 14,1700,+7,32.000000 
 14,1700,+8,32.000000 
 14,2000,+6,33.000000 
 14,2000,+7,32.000000 
 14,2000,+8,32.000000 
 14,2300,+6,33.000000 
 14,2300,+7,32.000000 
 14,2300,+8,32.000000 
 Start : 20210715 
 15,0200,+6,33.000000 
 15,0200,+7,32.000000 
 15,0200,+8,32.000000 
 15,0500,+6,32.000000 
 15,0500,+7,32.000000 
 15,0800,+6,32.000000 
 15,0800,+7,32.000000 
 15,0800,+8,32.000000 
 15,1100,+6,32.000000 
 15,1100,+7,32.000000 
 15,1100,+8,32.000000 
 15,1400,+6,32.000000 
 15,1400,+7,32.000000 
 15,1400,+8,32.000000 
 15,1700,+6,32.000000 
 15,1700,+7,32.000000 
 15,1700,+8,32.000000 
 15,2000,+6,32.000000 
 15,2000,+7,32.000000 
 15,2000,+8,31.000000 
 15,2300,+6,32.000000 
 15,2300,+7,32.000000 
 15,2300,+8,31.000000 
 Start : 20210716 
 16,0200,+6,32.000000 
 16,0200,+7,32.000000 
 16,0200,+8,31.000000 
 16,0500,+6,32.000000 
 16,0500,+7,31.000000 
 16,0800,+6,31.000000 
 16,0800,+7,32.000000 
 16,0800,+8,33.000000 
 16,1100,+6,31.000000 
 16,1100,+7,32.000000 
 16,1100,+8,33.000000 
 16,1400,+6,31.000000 
 16,1400,+7,32.000000 
 16,1400,+8,33.000000 
 16,1700,+6,31.000000 
 16,1700,+7,32.000000 
 16,1700,+8,33.000000 
 16,2000,+6,32.000000 
 16,2000,+7,32.000000 
 16,2000,+8,32.000000 
 16,2300,+6,32.000000 
 16,2300,+7,32.000000 
 16,2300,+8,32.000000 
 Start : 20210717 
 17,0200,+6,33.000000 
 17,0200,+7,32.000000 
 17,0200,+8,32.000000 
 17,0500,+6,32.000000 
 17,0500,+7,32.000000 
 17,0800,+6,33.000000 
 17,0800,+7,32.000000 
 17,0800,+8,33.000000 
 17,1100,+6,33.000000 
 17,1100,+7,32.000000 
 17,1100,+8,33.000000 
 17,1400,+6,33.000000 
 17,1400,+7,32.000000 
 17,1400,+8,33.000000 
 17,1700,+6,33.000000 
 17,1700,+7,32.000000 
 17,1700,+8,33.000000 
 17,2000,+6,34.000000 
 17,2000,+7,33.000000 
 17,2000,+8,34.000000 
 17,2300,+6,34.000000 
 17,2300,+7,33.000000 
 17,2300,+8,34.000000 
 Start : 20210718 
 18,0200,+6,34.000000 
 18,0200,+7,33.000000 
 18,0200,+8,34.000000 
 18,0500,+6,33.000000 
 18,0500,+7,34.000000 
 18,0800,+6,33.000000 
 18,0800,+7,33.000000 
 18,0800,+8,36.000000 
 18,1100,+6,33.000000 
 18,1100,+7,33.000000 
 18,1100,+8,36.000000 
 18,1400,+6,33.000000 
 18,1400,+7,33.000000 
 18,1400,+8,36.000000 
 18,1700,+6,33.000000 
 18,1700,+7,33.000000 
 18,1700,+8,36.000000 
 18,2000,+6,33.000000 
 18,2000,+7,34.000000 
 18,2000,+8,36.000000 
 18,2300,+6,33.000000 
 18,2300,+7,34.000000 
 18,2300,+8,36.000000 
 Start : 20210719 
 19,0200,+6,33.000000 
 19,0200,+7,34.000000 
 19,0200,+8,36.000000 
 19,0500,+6,34.000000 
 19,0500,+7,36.000000 
 19,0800,+6,34.000000 
 19,0800,+7,36.000000 
 19,0800,+8,35.000000 
 19,1100,+6,34.000000 
 19,1100,+7,36.000000 
 19,1100,+8,35.000000 
 19,1400,+6,34.000000 
 19,1400,+7,36.000000 
 19,1400,+8,35.000000 
 19,1700,+6,34.000000 
 19,1700,+7,36.000000 
 19,1700,+8,35.000000 
 19,2000,+6,34.000000 
 19,2000,+7,36.000000 
 19,2000,+8,36.000000 
 19,2300,+6,34.000000 
 19,2300,+7,36.000000 
 19,2300,+8,36.000000 
 Start : 20210720 
 20,0200,+6,34.000000 
 20,0200,+7,36.000000 
 20,0200,+8,36.000000 
 20,0500,+6,36.000000 
 20,0500,+7,36.000000 
 20,0800,+6,36.000000 
 20,0800,+7,36.000000 
 20,0800,+8,36.000000 
 20,1100,+6,36.000000 
 20,1100,+7,36.000000 
 20,1100,+8,36.000000 
 20,1400,+6,36.000000 
 20,1400,+7,36.000000 
 20,1400,+8,36.000000 
 20,1700,+6,36.000000 
 20,1700,+7,36.000000 
 20,1700,+8,36.000000 
 20,2000,+6,36.000000 
 20,2000,+7,36.000000 
 20,2000,+8,36.000000 
 20,2300,+6,36.000000 
 20,2300,+7,36.000000 
 20,2300,+8,36.000000 
 Start : 20210721 
 21,0200,+6,36.000000 
 21,0200,+7,36.000000 
 21,0200,+8,36.000000 
 21,0500,+6,36.000000 
 21,0500,+7,36.000000 
 21,0800,+6,36.000000 
 21,0800,+7,36.000000 
 21,0800,+8,36.000000 
 21,1100,+6,36.000000 
 21,1100,+7,36.000000 
 21,1100,+8,36.000000 
 21,1400,+6,36.000000 
 21,1400,+7,36.000000 
 21,1400,+8,36.000000 
 21,1700,+6,36.000000 
 21,1700,+7,36.000000 
 21,1700,+8,36.000000 
 21,2000,+6,36.000000 
 21,2000,+7,36.000000 
 21,2000,+8,36.000000 
 21,2300,+6,36.000000 
 21,2300,+7,36.000000 
 21,2300,+8,36.000000 
 Start : 20210722 
 22,0200,+6,36.000000 
 22,0200,+7,36.000000 
 22,0200,+8,36.000000 
 22,0500,+6,36.000000 
